frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,129.6,,,,,,,,,,,,,,,,,,,62,1054,994,,,,,,
1,129.6,,,,,,,,,,,,,,,,,,,54,1069,992,,,,,,
2,246.4,,,,,,,,,,,,,,,,,,,39,1074,978,,,,,,
3,270.5,16,992,989,61.60295896396315,61.416659692902776,,,,,16,508,949,31.546676566223063,58.93266941209781,,,,,,,,,,,,,
4,288.9,16,992,989,61.60295896396315,61.416659692902776,,,,,16,508,949,31.546676566223063,58.93266941209781,,,,,,,,,,,,,
5,301.0,16,992,989,61.60295896396315,61.416659692902776,,,,,16,508,949,31.546676566223063,58.93266941209781,,,,,,,,,,,,,
6,310.5,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,1.1999431332961321,0.0,59.9971566648066,0.0,,,,,,,,,
7,320.1,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.6208702122090002,0.0,39.79937257749995,0.0,,,,,,,,,
8,330.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.27569029750384183,0.0,18.818450341559164,0.0,,,,,,,,,
9,340.2,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,1.4309672538692033,0.0,-44.439976828236105,0.0,,,,,,,,,
10,362.5,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,1.0514448747899579,0.0,-19.489246984058536,0.0,,,,,,,,,
11,398.2,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,0.3401108492258188,0.0,-16.920937772428772,0.0,,,,,,,,,
12,434.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,-0.08493590571296583,0.0,12.220993627764937,0.0,,,,,,,,,
13,470.4,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,-0.2869669622807865,0.0,-5.31912812383293,0.0,,,,,,,,,
14,506.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,-0.28168056146577775,0.0,5.416933874341883,0.0,,,,,,,,,
15,542.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,-0.020969207780307395,0.0,-11.036425147530517,0.0,,,,,,,,,
16,578.5,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.02379771773321833,0.0,11.068705922426913,0.0,,,,,,,,,
17,610.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.0,0.0,0.0,0.0,,,,,,,,,
18,646.5,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,17,508,949,31.546676566223063,58.93266941209781,-0.3026284741682314,0.0,5.6302971938275626,0.0,,,,,,,,,
19,682.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,0.022732906171821138,0.0,-11.08922252283919,0.0,,,,,,,,,
20,717.9,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.0,0.0,0.0,0.0,,,,,,,,,
21,754.0,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.0,0.0,0.0,0.0,,,,,,,,,
22,790.2,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,-0.016073378483779672,0.0,10.369921602438806,0.0,,,,,,,,,
23,822.3,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.28223168669101667,0.0,5.406737292931355,0.0,,,,,,,,,
24,858.4,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,17,508,949,31.546676566223063,58.93266941209781,0.28183821434910333,0.0,5.399199508603513,0.0,,,,,,,,,
25,901.2,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,-0.054176692197880134,0.0,-11.05646779548566,0.0,,,,,,,,,
26,930.4,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,0.2818185375618702,0.0,-5.414381125107976,0.0,,,,,,,,,
27,966.6,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,-0.025483596290704204,0.0,-11.079824474219174,0.0,,,,,,,,,
28,1002.4,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,17,508,949,31.546676566223063,58.93266941209781,-0.31041249282462635,0.0,5.992519166498577,0.0,,,,,,,,,
29,1034.5,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,-0.28260726676495423,0.0,-5.429534423918427,0.0,,,,,,,,,
30,1070.2,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,17,508,949,31.546676566223063,58.93266941209781,-0.04346723261278068,0.0,10.732650027847043,0.0,,,,,,,,,
31,1106.0,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,17,508,949,31.546676566223063,58.93266941209781,0.0,0.0,0.0,0.0,,,,,,,,,
32,1142.4,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,508,949,31.546676566223063,58.93266941209781,0.022157099092796426,0.0,11.078549546397582,0.0,,,,,,,,,
33,1181.9,16,992,989,61.60295896396315,61.416659692902776,0.0,0.0,0.0,0.0,16,509,949,31.608776323243188,58.93266941209781,0.26977727595803136,0.0,-5.123974852004397,0.0,,,,,,,,,
